id,"name","district_id",type
274,"तीनपाटन गाउँपालिका","23",0
275,"फिक्कल गाउँपालिका","23",0
276,"मरिण गाउँपालिका","23",0
277,"हरिहरपुरगढी गाउँपालिका","23",0
278,"मन्थली नगरपालिका","24",1
279,"रामेछाप नगरपालिका","24",1
280,"उमाकुण्ड गाउँपालिका","24",0
281,"खाँडादेवी गाउँपालिका","24",0
282,"गोकुलगङ्गा गाउँपालिका","24",0
283,"दोरम्बा गाउँपालिका","24",0
284,"सुनापती गाउँपालिका","24",0
285,"जिरी नगरपालिका","25",1
286,"भिमेश्वर नगरपालिका","25",1
287,"कालिन्चोक गाउँपालिका","25",0
288,"गौरीशङ्कर गाउँपालिका","25",0
289,"तामाकोशी गाउँपालिका","25",0
290,"मेलुङ्ग गाउँपालिका","25",0
291,"विगु गाउँपालिका","25",0
292,"वैतेश्वर गाउँपालिका","25",0
293,"शैलुङ्ग गाउँपालिका","25",0
294,"चौतारा साँगाचोकगढी नगरपालिका","26",1
295,"बाह्रविसे नगरपालिका","26",1
296,"मेलम्ची नगरपालिका","26",1
297,"ईन्द्रावती गाउँपालिका","26",0
298,"जुगल गाउँपालिका","26",0
299,"पाँचपोखरी थाङपाल गाउँपालिका","26",0
300,"बलेफी गाउँपालिका","26",0
301,"भोटेकोशी गाउँपालिका","26",0
302,"लिसङ्खु पाखर गाउँपालिका","26",0
303,"हेलम्बु गाउँपालिका","26",0
304,"त्रिपुरासुन्दरी गाउँपालिका","26",0
305,"धुलिखेल नगरपालिका","27",1
306,"बनेपा नगरपालिका","27",1
307,"पनौती नगरपालिका","27",1
308,"पाँचखाल नगरपालिका","27",1
309,"नमोबुद्ध नगरपालिका","27",1
310,"मण्डनदेउपुर नगरपालिका","27",1
311,"खानीखोला गाउँपालिका","27",0
312,"चौंरीदेउराली गाउँपालिका","27",0
313,"तेमाल गाउँपालिका","27",0
314,"बेथानचोक गाउँपालिका","27",0
315,"भुम्लु गाउँपालिका","27",0
316,"महाभारत गाउँपालिका","27",0
317,"रोशी गाउँपालिका","27",0
318,"ललितपुर महानगरपालिका","28",3
319,"गोदावरी नगरपालिका","28",1
320,"कोन्ज्योसोम गाउँपालिका","28",0
321,"बागमती गाउँपालिका","28",0
322,"महाङ्काल गाउँपालिका","28",0
323,"चाँगुनारायण नगरपालिका","29",1
324,"भक्तपुर नगरपालिका","29",1
325,"मध्यपुर थिमी नगरपालिका","29",1
326,"सूर्यविनायक नगरपालिका","29",1
327,"काठमाण्डौं महानगरपालिका","30",3
328,"कागेश्वरी मनोहरा नगरपालिका","30",1
329,"कीर्तिपुर नगरपालिका","30",1
330,"गोकर्णेश्वर नगरपालिका","30",1
331,"चन्द्रागिरी नगरपालिका","30",1
332,"टोखा नगरपालिका","30",1
333,"तारकेश्वर नगरपालिका","30",1
334,"दक्षिणकाली नगरपालिका","30",1
335,"नागार्जुन नगरपालिका","30",1
336,"बुढानिलकण्ठ नगरपालिका","30",1
337,"शङ्खरापुर नगरपालिका","30",1
338,"विदुर नगरपालिका","31",1
339,"बेलकोटगढी नगरपालिका","31",1
340,"ककनी गाउँपालिका","31",0
341,"किस्पाङ गाउँपालिका","31",0
342,"तादी गाउँपालिका","31",0
343,"तारकेश्वर गाउँपालिका","31",0
344,"दुप्चेश्वर गाउँपालिका","31",0
345,"पञ्चकन्या गाउँपालिका","31",0
346,"मेघाङ गाउँपालिका","31",0
347,"शिवपुरी गाउँपालिका","31",0
348,"सुर्यगढी गाउँपालिका","31",0
349,"उत्तरगया गाउँपालिका","32",0
350,"कालिका गाउँपालिका","32",0
351,"गोसाईकुण्ड गाउँपालिका","32",0
352,"नौकुण्ड गाउँपालिका","32",0
353,"पार्वतीकुण्ड गाउँपालिका","32",0
354,"धुनीबेंशी नगरपालिका","33",1
355,"निलकण्ठ नगरपालिका","33",1
356,"खनियाबास गाउँपालिका","33",0
357,"गजुरी गाउँपालिका","33",0
358,"गल्छी गाउँपालिका","33",0
359,"गङ्गाजमुना गाउँपालिका","33",0
360,"ज्वालामूखी गाउँपालिका","33",0
361,"थाक्रे गाउँपालिका","33",0
362,"नेत्रावति गाउँपालिका","33",0
363,"बेनीघाट रोराङ्ग गाउँपालिका","33",0
364,"रुवी भ्याली गाउँपालिका","33",0
365,"सिद्धलेक गाउँपालिका","33",0
366,"हेटौडा उपमहानगरपालिका","34",2
367,"थाहा नगरपालिका","34",1
368,"इन्द्रसरोबर गाउँपालिका","34",0
369,"कैलाश गाउँपालिका","34",0
370,"बकैया गाउँपालिका","34",0
371,"बाग्मति गाउँपालिका","34",0
372,"भिमफेदी गाउँपालिका","34",0
373,"मकवानपुरगढी गाउँपालिका","34",0
374,"मनहरी गाउँपालिका","34",0
375,"राक्सिराङ्ग गाउँपालिका","34",0
376,"भरतपुर महानगरपालिका","35",3
377,"कालिका नगरपालिका","35",1
378,"खैरहनी नगरपालिका","35",1
379,"माडी नगरपालिका","35",1
380,"रत्ननगर नगरपालिका","35",1
381,"राप्ती नगरपालिका","35",1
382,"इच्छाकामना गाउँपालिका","35",0
383,"गोरखा नगरपालिका","36",1
384,"पालुङटार नगरपालिका","36",1
385,"सुलीकोट गाउँपालिका","36",0
386,"सिरानचोक गाउँपालिका","36",0
387,"अजिरकोट गाउँपालिका","36",0
388,"आरूघाट गाउँपालिका","36",0
389,"गण्डकी गाउँपालिका","36",0
390,"चुमनुव्री गाउँपालिका","36",0
391,"धार्चे गाउँपालिका","36",0
392,"भिमसेन गाउँपालिका","36",0
393,"शहिद लखन गाउँपालिका","36",0
394,"बेसीशहर नगरपालिका","37",1
395,"मध्यनेपाल नगरपालिका","37",1
396,"रार्इनास नगरपालिका","37",1
397,"सुन्दरबजार नगरपालिका","37",1
398,"क्व्होलासोथार गाउँपालिका","37",0
399,"दूधपोखरी गाउँपालिका","37",0
400,"दोर्दी गाउँपालिका","37",0
401,"मर्स्याङदी गाउँपालिका","37",0
402,"भानु नगरपालिका","38",1
403,"भिमाद नगरपालिका","38",1
404,"व्यास नगरपालिका","38",1
405,"शुक्लागण्डकी नगरपालिका","38",1
406,"आँबुखैरेनी गाउँपालिका","38",0
407,"ऋषिङ्ग गाउँपालिका","38",0
408,"घिरिङ गाउँपालिका","38",0
409,"देवघाट गाउँपालिका","38",0
410,"म्याग्दे गाउँपालिका","38",0
411,"वन्दिपुर गाउँपालिका","38",0
412,"गल्याङ नगरपालिका","39",1
413,"चापाकोट नगरपालिका","39",1
414,"पुतलीबजार नगरपालिका","39",1
415,"भीरकोट नगरपालिका","39",1
416,"वालिङ नगरपालिका","39",1
417,"अर्जुनचौपारी गाउँपालिका","39",0
418,"आँधिखोला गाउँपालिका","39",0
419,"कालीगण्डकी गाउँपालिका","39",0
